08-Jul-24 06:03:39 : -----------------------------------------------------------------------------------------------------------------
08-Jul-24 06:03:39 :  Starting  - (scenen.py) scraper
08-Jul-24 06:03:45 :  completed - Adrift
08-Jul-24 06:03:47 :  completed - FOREST SILENT GATHERING af Begüm Erciyas
08-Jul-24 06:03:48 :  completed - HABITAT af Doris Uhlich
08-Jul-24 06:03:50 :  completed - Balder &amp; Dragen
08-Jul-24 06:03:52 :  completed - CameliOrquestra
08-Jul-24 06:03:54 :  completed - Mr.Zap the Clown
08-Jul-24 06:03:56 :  completed - Skidt og Pyt
08-Jul-24 06:03:58 :  completed - Skidt og Pyt på Store Vaskedag
08-Jul-24 06:04:00 :  completed - Den forunderlige rejse
08-Jul-24 06:04:02 :  completed - Fusskopf
08-Jul-24 06:04:04 :  completed - Tommelise
08-Jul-24 06:04:06 :  completed - Kejserens nye klæder
08-Jul-24 06:04:08 :  completed - Troilus og Cressida
08-Jul-24 06:04:10 :  completed - En ideel ægtemand
08-Jul-24 06:04:12 :  completed - Grauballemanden the musical
08-Jul-24 06:04:14 :  completed - DRØMMEN
08-Jul-24 06:04:16 :  completed - Sallys Far
08-Jul-24 06:04:16 :  completed - total: 17
08-Jul-24 06:04:16 : -----------------------------------------------------------------------------------------------------------------
08-Jul-24 06:04:16 :  Starting  - (kunsten.py) scraper
08-Jul-24 06:04:25 :  completed - Sommer Showroom - kunsten.nu - Online magasin og kalender for billedkunst
08-Jul-24 06:04:25 :  completed - Ron Mueck: Art and Life - kunsten.nu - Online magasin og kalender for billedkunst
08-Jul-24 06:04:25 :  completed - Sarah Sze: Metronome - kunsten.nu - Online magasin og kalender for billedkunst
08-Jul-24 06:04:25 :  completed - Richard Mortensen – Mellem Linierne - kunsten.nu - Online magasin og kalender for billedkunst
08-Jul-24 06:04:25 :  completed - Anette Harboe Flensburg: Sten – Skelet – Silhuet - kunsten.nu - Online magasin og kalender for billedkunst
08-Jul-24 06:04:25 :  completed - Man tager hvad man har!  - kunsten.nu - Online magasin og kalender for billedkunst
08-Jul-24 06:04:26 :  completed - SUKKERFABRIKKEN - Gruppeudstilling - kunsten.nu - Online magasin og kalender for billedkunst
08-Jul-24 06:04:26 :  completed - Jóhan Martin Christiansen: Jeppe Sleeping - kunsten.nu - Online magasin og kalender for billedkunst
08-Jul-24 06:04:26 :  completed - Eventyrlig Dialog - kunsten.nu - Online magasin og kalender for billedkunst
08-Jul-24 06:04:27 :  completed - Summer 24 - kunsten.nu - Online magasin og kalender for billedkunst
08-Jul-24 06:04:27 :  completed - Wang & Söderström: Techno Mythologies - kunsten.nu - Online magasin og kalender for billedkunst
08-Jul-24 06:04:27 :  completed - Taryn Simon: Start Again the Lament - kunsten.nu - Online magasin og kalender for billedkunst
08-Jul-24 06:04:27 :  completed - Playing with Fire: Edmund de Waal and Axel Salto - kunsten.nu - Online magasin og kalender for billedkunst
08-Jul-24 06:04:27 :  completed - Grounding - kunsten.nu - Online magasin og kalender for billedkunst
08-Jul-24 06:04:28 :  completed - Basel Abbas & Ruanne Abou-Rahme: The song is the call and the land is calling - kunsten.nu - Online magasin og kalender for billedkunst
08-Jul-24 06:04:28 :  completed - Residential - kunsten.nu - Online magasin og kalender for billedkunst
08-Jul-24 06:04:28 :  completed - Kapwani Kiwanga: The Length of the Horizon - kunsten.nu - Online magasin og kalender for billedkunst
08-Jul-24 06:04:28 :  completed - Jakob Martin Strid: Den fantastiske bus (Børneudstilling) - kunsten.nu - Online magasin og kalender for billedkunst
